bucket,reason,market_snapshot_id,match_id,id_prefix,player_id,source_name,market_type,selection,line_value,odds_american,price_cents,implied_probability,captured_at
needs_review,market_snapshot_missing_match_or_player_identity,a1bb3fa326b273ea5afe5d81feff95057c5858c0,dk-atp-french-open-m-flavio-cobolli-vs-alexander-zverev-2026-06-07,dk,,draftkings,first_game_props,First 4 Game Props: All Breaks of Serve,,10000,,0.009900990099009901,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,a405befd778dd5d9b8266d2053677aa35781ba84,dk-atp-french-open-m-flavio-cobolli-vs-alexander-zverev-2026-06-07,dk,,draftkings,first_set_total_games,Under,9.5,110,,0.47619047619047616,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,b798139735554bfe6420bf461385a5e7777f1064,dk-atp-french-open-m-flavio-cobolli-vs-alexander-zverev-2026-06-07,dk,,draftkings,first_game_props,First 2 Game Props: All Holds of Serve,,-200,,0.6666666666666666,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,bc8317a83e604e41cdefea47a2300d98bd8651fb,dk-atp-french-open-m-flavio-cobolli-vs-alexander-zverev-2026-06-07,dk,,draftkings,match_total_games,Under,36.5,-120,,0.5454545454545454,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,7272baa8f1dd377838e7c33a90431873ab95ef1f,dk-wta-wta-birmingham-alexandra-eala-vs-nikola-bartunkova-2026-06-07,dk,,draftkings,first_set_total_games,Over,9.5,-105,,0.5121951219512195,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,b433159d366cef671c5e63f6ef8cc3b393e92f42,dk-wta-wta-birmingham-alexandra-eala-vs-nikola-bartunkova-2026-06-07,dk,,draftkings,first_set_total_games,Under,9.5,-135,,0.574468085106383,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,473e1b101e36dc3c0e644566b526afd54ad30153,dk-wta-wta-foggia-leyre-romero-gormaz-vs-tyra-caterina-grant-2026-06-07,dk,,draftkings,first_set_total_games,Under,9.5,-175,,0.6363636363636364,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,5163e1db10e4f723a212082872cb51dfc415fadf,dk-wta-wta-foggia-leyre-romero-gormaz-vs-tyra-caterina-grant-2026-06-07,dk,,draftkings,first_set_total_games,Over,9.5,120,,0.45454545454545453,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,8d35549d921e050c61a17a61d74c00fb47bbe3b8,dk-wta-wta-makarska-darja-semenistaja-vs-maria-timofeeva-2026-06-07,dk,,draftkings,first_set_total_games,Over,9.5,120,,0.45454545454545453,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,cce54e0b42fc5101b34aace1ddedeec8646649c9,dk-wta-wta-makarska-darja-semenistaja-vs-maria-timofeeva-2026-06-07,dk,,draftkings,first_set_total_games,Under,9.5,-175,,0.6363636363636364,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,5c123f50fd9184141367559a633c0abd84770c32,dk-wta-wta-quals-hertogenbosch-ella-seidel-vs-greet-minnen-2026-06-07,dk,,draftkings,match_total_games,Over,20.5,-130,,0.5652173913043478,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,66a4417bb7041dcde970008a1277a2b978271924,dk-wta-wta-quals-hertogenbosch-ella-seidel-vs-greet-minnen-2026-06-07,dk,,draftkings,match_total_games,Under,20.5,-110,,0.5238095238095238,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,8eff2114ffd6531978af638c667223934066ec7a,dk-wta-wta-quals-hertogenbosch-ella-seidel-vs-greet-minnen-2026-06-07,dk,,draftkings,first_set_total_games,Under,9.5,-140,,0.5833333333333334,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,9731eb3ee50a3b4f14870b5fef301ca9d8a7e2b1,dk-wta-wta-quals-hertogenbosch-ella-seidel-vs-greet-minnen-2026-06-07,dk,,draftkings,first_set_total_games,Over,9.5,-105,,0.5121951219512195,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,72043fbf6d5489b39116b0c12532196fc3f0a7e0,dk-wta-wta-quals-hertogenbosch-hanne-vandewinkel-vs-anouk-koevermans-2026-06-07,dk,,draftkings,first_set_total_games,Under,9.5,-150,,0.6,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,7a51132592fbdac8b6a89c64c6568892315bf14f,dk-wta-wta-quals-hertogenbosch-hanne-vandewinkel-vs-anouk-koevermans-2026-06-07,dk,,draftkings,match_total_games,Under,20.5,-125,,0.5555555555555556,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,c60fed61ced1334b350d8c7232d571b7e2bbad97,dk-wta-wta-quals-hertogenbosch-hanne-vandewinkel-vs-anouk-koevermans-2026-06-07,dk,,draftkings,first_set_total_games,Over,9.5,105,,0.4878048780487805,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,d537bf0d01a1228a2c454f7609a8a07aff5c38a2,dk-wta-wta-quals-hertogenbosch-hanne-vandewinkel-vs-anouk-koevermans-2026-06-07,dk,,draftkings,match_total_games,Over,20.5,-120,,0.5454545454545454,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,83f15d1ab6808e581e0ec3e33c9971b1ec89b5f1,dk-wta-wta-quals-hertogenbosch-katie-volynets-vs-lin-zhu-2026-06-07,dk,,draftkings,first_set_total_games,Under,8.5,125,,0.4444444444444444,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,8709d98cdf65ed3daaf6b73770fa3c20735c39e1,dk-wta-wta-quals-hertogenbosch-katie-volynets-vs-lin-zhu-2026-06-07,dk,,draftkings,match_total_games,Over,19.5,-120,,0.5454545454545454,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,b85bb584e4f8730daa28f83d277bf2a445dd1813,dk-wta-wta-quals-hertogenbosch-katie-volynets-vs-lin-zhu-2026-06-07,dk,,draftkings,first_set_total_games,Over,8.5,-185,,0.6491228070175439,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,f1b3361ec5257fe924b4f18528e8536bf7604299,dk-wta-wta-quals-hertogenbosch-katie-volynets-vs-lin-zhu-2026-06-07,dk,,draftkings,match_total_games,Under,19.5,-120,,0.5454545454545454,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,26bb3571ff4f13ad506e483e70c0a5b2b16200bd,dk-wta-wta-quals-hertogenbosch-robin-montgomery-vs-joanna-garland-2026-06-07,dk,,draftkings,first_set_total_games,Under,9.5,-130,,0.5652173913043478,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,74f18f0bde0fe22c95911eaee027c85074eaa2bb,dk-wta-wta-quals-hertogenbosch-robin-montgomery-vs-joanna-garland-2026-06-07,dk,,draftkings,first_set_total_games,Over,9.5,-115,,0.5348837209302325,2026-06-07T07:05:44.067Z
needs_review,market_snapshot_missing_match_or_player_identity,80f73c47df54a8fec8357e925f5b6de94aee61ac,dk-wta-wta-quals-hertogenbosch-robin-montgomery-vs-joanna-garland-2026-06-07,dk,,draftkings,match_total_games,Under,21.5,-115,,0.5348837209302325,2026-06-07T07:05:44.067Z
